indirectos indirecto AQ0MP0 0.65727
, , Fc 1
sin sin SPS00 1
contar contar VMN0000 1
los el DA0MP0 0.976481
empleos empleo NCMP000 1
que que PR0CN000 0.562517
se se P00CN000 0.465639
crearán crear VMIF3P0 1
por por SPS00 1
el el DA0MS0 1
desarrollo desarrollo NCMS000 0.992424
de de SPS00 0.999984
la el DA0FS0 0.972269
industria industria NCFS000 0.939394
minera minero AQ0FS0 0.372281
de de SPS00 0.999984
carbón carbón NCMS000 1
. . Fp 1

eliminación eliminación NCFS000 1
de de SPS00 1
el el DA0MS0 1
pago pago NCMS000 0.873499
por por SPS00 1
tarifa tarifa NCFS000 0.746962
eléctrica eléctrico AQ0FS0 1
proveniente proveniente AQ0CS0 1
de de SPS00 0.999984
colombia colombia VMIP3S0 1
con con SPS00 1
ahorro ahorro NCMS000 0.973453
en en SPS00 1
divisas divisa NCFP000 0.973497
para para SPS00 0.999103
la el DA0FS0 0.972269
nación nación NCFS000 1
. . Fp 1

